Position,TrackName,Artist,Streams,URL,Images
76,goosebumps,Travis Scott,7433950,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
77,Ella No Es Tuya - Remix,Rochy RD,7381124,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y,https://i.scdn.co/image/ab67616d0000b2737e4b101046479cd4568a3cbc
78,Shallow,Lady Gaga,7371627,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
79,Golden,Harry Styles,7370093,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
80,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7355712,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
81,Savage Love (Laxed - Siren Beat),Jawsh 685,7250912,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7
82,At My Worst,Pink Sweat$,7244524,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,https://i.scdn.co/image/ab67616d0000b27375af9fb0fa8dc8f3adef6905
83,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,7242887,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,https://i.scdn.co/image/ab67616d0000b273312bd86cc2db22fde885ee73
84,Adore You,Harry Styles,7234027,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
85,La Tóxica,Farruko,7097729,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,https://i.scdn.co/image/ab67616d0000b27300dbb42f00340f35ce0ec816
86,Breaking Me,Topic,7096603,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2
87,Wishing Well,Juice WRLD,7073262,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
88,The Box,Roddy Ricch,7040473,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
89,Señorita,Shawn Mendes,6977790,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563
90,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,6928286,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN,https://i.scdn.co/image/ab67616d0000b273b55f1a2f0299d6525c6ac99e
